CD,Borough,CDName,Population_2020
308,Brooklyn,Brooklyn Community District 8,108259
205,Bronx,Bronx Community District 5,132584
311,Brooklyn,Brooklyn Community District 11,198870
410,Queens,Queens Community District 10,129411
164,Manhattan,Central Park,129
203,Bronx,Bronx Community District 3,93755
206,Bronx,Bronx Community District 6,89216
480,Queens,LaGuardia Airport,0
105,Manhattan,Manhattan Community District 5,63600
210,Bronx,Bronx Community District 10,130763
412,Queens,Queens Community District 12,256278
318,Brooklyn,Brooklyn Community District 18,204095
104,Manhattan,Manhattan Community District 4,131351
107,Manhattan,Manhattan Community District 7,222129
404,Queens,Queens Community District 4,181025
302,Brooklyn,Brooklyn Community District 2,130021
303,Brooklyn,Brooklyn Community District 3,174960
304,Brooklyn,Brooklyn Community District 4,120747
309,Brooklyn,Brooklyn Community District 9,102000
355,Brooklyn,Prospect Park,15
503,Staten Island,Staten Island Community District 3,164723
106,Manhattan,Manhattan Community District 6,155614
102,Manhattan,Manhattan Community District 2,92445
402,Queens,Queens Community District 2,137981
101,Manhattan,Manhattan Community District 1,78390
595,Staten Island,Great Kills Park-Fort Wadsworth,566
356,Brooklyn,Jamaica Bay (West),21
103,Manhattan,Manhattan Community District 3,163141
301,Brooklyn,Brooklyn Community District 1,204125
109,Manhattan,Manhattan Community District 9,110458
108,Manhattan,Manhattan Community District 8,231983
207,Bronx,Bronx Community District 7,146813
317,Brooklyn,Brooklyn Community District 17,162446
201,Bronx,Bronx Community District 1,100929
306,Brooklyn,Brooklyn Community District 6,113933
307,Brooklyn,Brooklyn Community District 7,133230
482,Queens,Forest Park,4
405,Queens,Queens Community District 5,178178
406,Queens,Queens Community District 6,120955
481,Queens,Flushing Meadows-Corona Park,23
212,Bronx,Bronx Community District 12,163489
202,Bronx,Bronx Community District 2,54454
211,Bronx,Bronx Community District 11,119666
227,Bronx,Bronx Park,69
409,Queens,Queens Community District 9,152839
408,Queens,Queens Community District 8,161402
411,Queens,Queens Community District 11,122211
305,Brooklyn,Brooklyn Community District 5,200293
316,Brooklyn,Brooklyn Community District 16,98506
413,Queens,Queens Community District 13,199218
483,Queens,John F. Kennedy International Airport,2
208,Bronx,Bronx Community District 8,106924
226,Bronx,Van Cortlandt Park,122
112,Manhattan,Manhattan Community District 12,180206
414,Queens,Queens Community District 14,124173
312,Brooklyn,Brooklyn Community District 12,205377
314,Brooklyn,Brooklyn Community District 14,164568
315,Brooklyn,Brooklyn Community District 15,169632
403,Queens,Queens Community District 3,179134
110,Manhattan,Manhattan Community District 10,130440
204,Bronx,Bronx Community District 4,150436
313,Brooklyn,Brooklyn Community District 13,108905
310,Brooklyn,Brooklyn Community District 10,136071
484,Queens,Jamaica Bay (East),12
501,Staten Island,Staten Island Community District 1,189663
502,Staten Island,Staten Island Community District 2,140795
228,Bronx,Pelham Bay Park,7
111,Manhattan,Manhattan Community District 11,125771
401,Queens,Queens Community District 1,196803
209,Bronx,Bronx Community District 9,188249
407,Queens,Queens Community District 7,269587
